timestamp,open,high,low,close,volume
0,64901.7631,64914.2473,64894.6526,64901.7631,3.908351
1,64901.7631,64954.3810,64893.9031,64944.5755,4.015391
2,64944.5755,64986.6454,64917.7873,64920.6056,9.208921
3,64920.6056,64987.2644,64911.3844,64974.9990,15.334146
4,64974.9990,64978.3272,64905.3280,64913.9672,21.895466
5,64913.9672,64989.4513,64912.7204,64986.0170,8.030778
6,64986.0170,65011.2866,64975.9266,64991.0242,6.717760
7,64991.0242,65010.2529,64905.1816,64917.4119,23.563009
8,64917.4119,64922.1150,64884.6702,64892.5797,6.762279
9,64892.5797,64899.8723,64871.6217,64879.3936,21.344098
10,64879.3936,64931.8626,64872.8602,64928.9689,10.244138
11,64928.9689,65025.2204,64925.7810,65021.4886,10.261658
12,65021.4886,65210.4266,65004.8594,65201.2966,7.728552
13,65201.2966,65325.7199,65197.0565,65318.3285,10.635571
14,65318.3285,65405.8801,65313.1060,65400.7285,6.736363
15,65400.7285,65418.3912,65333.2552,65338.5270,5.922548
16,65338.5270,65346.0373,65297.3827,65320.4870,8.207775
17,65320.4870,65321.1948,65206.2026,65232.0656,6.026190
18,65232.0656,65300.6935,65228.9593,65287.3846,10.684099
19,65287.3846,65332.1653,65282.3465,65314.8968,9.369528
20,65314.8968,65366.3469,65314.5898,65352.9054,7.606370
21,65352.9054,65443.6831,65324.4905,65419.8902,7.897291
22,65419.8902,65540.8398,65405.8284,65528.3122,7.761704
23,65528.3122,65643.0202,65519.1803,65631.4715,25.270470
24,65631.4715,65637.2000,65619.9232,65634.6778,8.853272
25,65634.6778,65650.9997,65582.1063,65587.8692,6.233709
26,65587.8692,65613.1253,65582.8698,65611.4400,7.454575
27,65611.4400,65626.2656,65600.0530,65600.2188,13.245500
28,65600.2188,65726.2378,65598.1015,65723.9358,7.892596
29,65723.9358,65845.7211,65717.5894,65818.6876,8.131771
30,65818.6876,65881.0079,65811.1809,65862.2213,7.632622
31,65862.2213,65942.5990,65842.2918,65934.4370,9.824800
32,65934.4370,65939.3194,65921.8856,65938.3364,11.250612
33,65938.3364,66068.5663,65935.9611,66067.8698,11.613742
34,66067.8698,66072.1521,66005.7863,66030.1461,3.336265
35,66030.1461,66038.3588,66016.9187,66035.0116,4.691787
36,66035.0116,66049.5669,65900.5464,65913.6451,1.839465
37,65913.6451,66161.3145,65910.9597,66152.5365,14.389555
38,66152.5365,66175.4627,66146.3180,66163.1526,17.296027
39,66163.1526,66184.6634,66130.6016,66138.5480,19.406244
40,66138.5480,66154.7949,66066.4192,66076.7384,9.697300
41,66076.7384,66086.3770,65925.5511,65935.2022,17.720537
42,65935.2022,65938.5274,65890.1190,65903.7455,8.700585
43,65903.7455,65920.4488,65888.7314,65900.3730,8.274311
44,65900.3730,65943.5266,65900.3629,65937.9187,3.531026
45,65937.9187,66050.8719,65919.6151,66036.0065,5.564518
46,66036.0065,66108.9030,66035.8349,66108.3023,6.238083
47,66108.3023,66139.1986,66101.8713,66125.4059,15.429326
48,66125.4059,66130.8865,66035.6733,66052.2021,24.051432
49,66052.2021,66081.5025,65990.6030,66001.9244,6.715808
50,66001.9244,66010.1659,65944.4149,65951.5465,11.122058
51,65951.5465,65968.2245,65895.1885,65901.8255,10.495812
52,65901.8255,65941.1509,65899.3336,65934.0833,5.593853
53,65934.0833,65937.3518,65851.1875,65856.9856,3.169002
54,65856.9856,65863.4946,65801.3528,65807.9704,5.662921
55,65807.9704,65814.8038,65754.4644,65775.6995,3.757601
56,65775.6995,65794.1140,65693.3906,65702.1218,7.358908
57,65702.1218,65719.1520,65690.3380,65699.9835,8.168109
58,65699.9835,65710.2891,65647.0830,65667.2237,7.977184
59,65667.2237,65831.1151,65654.7612,65811.6088,8.037576
60,65811.6088,65860.0431,65794.5515,65840.1580,11.876611
61,65840.1580,65842.8034,65798.9387,65808.7237,5.085460
62,65808.7237,65812.9708,65670.6117,65673.2430,15.133827
63,65673.2430,65675.2016,65637.8222,65642.6131,3.263285
64,65642.6131,65677.7004,65637.0182,65671.2058,9.224264
65,65671.2058,65687.8615,65661.5494,65685.1718,11.215164
66,65685.1718,65689.0183,65643.8147,65650.9231,5.528402
67,65650.9231,65733.4575,65647.4452,65732.7834,3.416767
68,65732.7834,65816.8168,65730.8238,65802.0217,13.020857
69,65802.0217,65817.8994,65685.3321,65697.5496,5.932386
70,65697.5496,65715.2645,65651.4720,65653.6659,14.185317
71,65653.6659,65672.1966,65652.5940,65666.4087,14.071158
72,65666.4087,65668.0494,65570.7511,65579.1836,8.848608
73,65579.1836,65600.1959,65484.2139,65494.6141,8.871085
74,65494.6141,65504.0270,65485.4371,65489.1205,16.039209
75,65489.1205,65501.1133,65424.2704,65434.9470,11.123794
76,65434.9470,65457.5875,65430.9500,65453.3029,5.077471
77,65453.3029,65464.8593,65427.3114,65437.8562,9.816678
78,65437.8562,65517.5912,65428.7208,65499.7096,12.368767
79,65499.7096,65516.4955,65497.6737,65514.2601,10.022962
80,65514.2601,65529.1047,65501.8715,65509.0886,9.944016
81,65509.0886,65514.1195,65492.1436,65506.3724,8.128678
82,65506.3724,65576.5214,65495.2397,65554.7767,8.270609
83,65554.7767,65590.6422,65553.0145,65585.4458,5.074009
84,65585.4458,65589.8191,65548.6533,65556.0316,3.772622
85,65556.0316,65581.3440,65545.2568,65573.3969,17.405049
86,65573.3969,65583.7100,65515.8167,65540.3654,6.067303
87,65540.3654,65571.5897,65528.8813,65566.8401,10.139494
88,65566.8401,65578.4470,65504.0669,65525.7696,3.619276
89,65525.7696,65526.2684,65476.3912,65481.5796,9.759139
90,65481.5796,65483.4949,65386.7136,65393.5503,5.413974
91,65393.5503,65407.2944,65348.2659,65362.2734,52.298544
92,65362.2734,65443.2164,65361.2799,65431.7810,4.830603
93,65431.7810,65434.9368,65371.6170,65373.7787,4.986376
94,65373.7787,65377.9297,65257.6845,65259.3975,15.590440
95,65259.3975,65419.2696,65254.7278,65416.8403,17.509150
96,65416.8403,65472.7874,65416.4970,65470.3055,2.522622
97,65470.3055,65491.5420,65395.1377,65397.8474,10.334757
98,65397.8474,65429.3465,65370.1688,65371.8789,14.997502
99,65371.8789,65379.6531,65365.6510,65378.3635,4.274509
100,65378.3635,65383.4550,65303.2117,65317.0160,13.347756
101,65317.0160,65413.3021,65316.9731,65397.5165,6.478217
102,65397.5165,65424.8164,65396.0310,65411.5085,4.890801
103,65411.5085,65501.6964,65405.5409,65496.1435,7.197734
104,65496.1435,65559.5403,65487.1368,65547.2306,6.736699
105,65547.2306,65611.0998,65531.3919,65606.2671,3.871639
106,65606.2671,65630.2727,65522.8515,65527.3418,33.712620
107,65527.3418,65531.0454,65486.0914,65496.5376,6.762171
108,65496.5376,65552.4998,65489.8750,65537.7707,5.683398
109,65537.7707,65602.2682,65532.0214,65592.7172,14.765902
110,65592.7172,65722.5571,65592.1303,65712.3881,8.495958
111,65712.3881,65764.2318,65707.6726,65739.8071,19.652524
112,65739.8071,65804.6796,65720.1582,65801.8025,7.564455
113,65801.8025,65811.3811,65757.5351,65763.0796,10.938654
114,65763.0796,65796.0208,65753.8744,65790.3961,9.377256
115,65790.3961,65830.6843,65787.2556,65817.3228,9.796791
116,65817.3228,65823.4573,65724.8313,65726.2223,7.834659
117,65726.2223,65746.8273,65681.6256,65691.5409,8.335244
118,65691.5409,65693.3587,65675.2895,65684.3392,24.087633
119,65684.3392,65697.4754,65529.3159,65550.9312,5.912925
120,65550.9312,65562.2700,65522.8560,65525.0152,6.404973
121,65525.0152,65562.8331,65519.1725,65557.7826,7.227205
122,65557.7826,65588.9603,65464.9463,65471.0998,12.459925
123,65471.0998,65488.4804,65406.8089,65414.7910,11.264016
124,65414.7910,65506.2233,65395.1892,65489.0727,15.482393
125,65489.0727,65505.4345,65401.8747,65406.0361,3.992470
126,65406.0361,65509.3180,65398.9820,65485.7052,10.350886
127,65485.7052,65566.9301,65482.3475,65549.1361,7.985744
128,65549.1361,65582.0186,65546.0053,65570.2279,7.478857
